english_text,uzbek_text,label
i didnt feel humiliated,Men o'zimni kamsitilgan his qilmadim,0
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,Men g'amxo'rlik qiladigan va hushyor bo'lgan odamning yonida bo'lish orqali men o'zimni juda umidsiz his qilishdan shunchalik la'natli umidga o'tishim mumkin,0
im grabbing a minute to post i feel greedy wrong,"Men post yozishga bir daqiqa vaqt ajratyapman, o'zimni noto'g'ri his qildim",3
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,"Men har doim kamin haqida nostaljik his qilaman, men uning hali ham mulkda ekanligini bilib olaman",2
i am feeling grouchy,Men o'zimni g'amgin his qilyapman,3
ive been feeling a little burdened lately wasnt sure why that was,"Oxirgi paytlarda o'zimni biroz og'ir his qildim, nega buni bilmasdim",0
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,"Men tavsiya etilgan miqdorda yoki milligramm yoki marta qabul qildim va men tezroq uxlab qoldim, lekin o'zimni juda kulgili his qilyapman",5
i feel as confused about life as a teenager or as jaded as a year old man,Men o'zimni o'smirlikdagidek chalkash yoki bir yoshli odamdek charchagandek his qilyapman,4
i have been with petronas for years i feel that petronas has performed well and made a huge profit,"men petronas bilan ko'p yillar davomida ishlayman, men petronas yaxshi ishlaganini va katta foyda keltirganini his qilyapman",1
i feel romantic too,Men ham o'zimni romantik his qilyapman,2
i feel like i have to make the suffering i m seeing mean something,Men ko'rayotgan azob-uqubatlarimni nimanidir anglatishini his qilyapman,0
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,Men yugurish ilohiy tajriba ekanligini his qilaman va men qandaydir ruhiy uchrashuvni kutishim mumkin,1
i think it s the easiest time of year to feel dissatisfied,"Menimcha, bu norozilikni his qilishning eng oson vaqti",3
i feel low energy i m just thirsty,"Men kam energiya his qilyapman, men shunchaki chanqaganman",0
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,"Men umumiy fikrga juda hamdardman, lekin mumkin bo'lgan proto-yozuvchi sifatida hayotning turli burchaklarida yozishga vaqt topishga harakat qilmoqda va hech qanday agent belgisi bo'lmagan holda, nashriyot shartnomasi u yoqda tursin, bu biroz qimmatli tuyuladi",1
i do not feel reassured anxiety is on each side,Har tomondan tashvish borligiga ishonchim komil emas,1
i didnt really feel that embarrassed,Men unchalik xijolat tortmadim,0
i feel pretty pathetic most of the time,Ko'pincha o'zimni juda achinarli his qilaman,0
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,Men bolaligimda bo'lgan qo'g'irchoqlar haqida sentimental his qila boshladim va shuning uchun oltmishinchi yillardagi eski barbi qo'g'irchoqlari to'plamini boshladim.,0
i now feel compromised and skeptical of the value of every unit of work i put in,Men hozir o'zimni xavf ostida his qilyapman va har bir ishimning qiymatiga shubha bilan qarayman,4
i feel irritated and rejected without anyone doing anything or saying anything,Hech kim hech narsa qilmasdan yoki hech narsa demasdan o'zimni g'azablangan va rad etilgandek his qilaman,3
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,"Men o‘zimni to‘laqonli his qilyapman, ikki strategiyam bor, ular menga asosli his qilishimga yordam beradi, yuragimni jurnalimga xudoga maktub shaklida to‘kib tashlang va so‘ngra men uchun eng minnatdor bo‘lgan besh narsa ro‘yxati bilan yakunlang.",4
i have the feeling she was amused and delighted,Men u quvnoq va xursand bo'lganini his qilyapman,1
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,Men sizning qo'llab-quvvatlashingiz va daldangiz bilan chay hayotiga yordam bera oldim va bu ajoyib tuyg'u va menga yordam berganingizdan juda xursandman,1
i already feel like i fucked up though because i dont usually eat at all in the morning,"Men o'zimni allaqachon charchagandek his qilyapman, chunki men ertalab umuman ovqatlanmayman",3
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,"Men hali ham o'zimni yaxshi ko'raman va unga eng yaxshisini tilayman, men bmning bizning hayotimizga ta'siriga toqat qilolmayman va bu mening so'zimni achchiq g'azablangan odamga aylantirdi, u har doim ham atrofidagi odamlarga nisbatan mehribon bo'lmaydi. u stressni his qilmoqda",0
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,Birovning oshxonasida o'zimni xuddi birovning rasmiga chizayotgandek g'alati his qilyapman,0
i become overwhelmed and feel defeated,Men hayajonga tushaman va o'zimni mag'lubiyatga uchragandek his qilaman,0
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,Men u o'zining tana o'lchovlarini keng va uzunligi bilan tushuntirishga muhtojligini his qilganidan juda dahshatga tushdim.,3
i feel more superior dead chicken or grieving child,Men o'lik tovuq yoki g'amgin bolani ko'proq ustun his qilaman,1
i get giddy over feeling elegant in a perfectly fitted pencil skirt,Ajoyib o'rnatilgan qalam yubkada o'zimni nafis his qilganimdan boshim gavdalanadi,1
i remember feeling acutely distressed for a few days,Men bir necha kun davomida qattiq qayg'uga tushganimni eslayman,4
i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,Men so'nggi bir necha kun ichida eshitgan va o'qiganimni ko'rdim va bir nechta kompaniyalar meni hayratda qoldirdi,5
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,Men bu yo'nalishda id mutlaqo noto'g'ri o'tganidan va menga hech qachon xalaqit bermagan omil shu kun ichida shunday og'irlik qilganidan xafa bo'lib tepalikka chiqdim.,3
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,"Men haqiqiy hayot stsenariysini tasavvur qila olmayman, bu erda o'zimni butunlay qabul qilingan va xavfsiz his qilish uchun kimdir bilan etarlicha hissiy bog'langan bo'lardim, bu erda yaqin va uzoq muddatli jismoniy aloqada bo'lish axloqiy jihatdan maqbul bo'ladi va bundan keyin jinsiy aloqa kutilmaydi.",1
i am not sure what would make me feel content if anything,"Agar biror narsa bo'lsa, nima meni mamnun qilishiga ishonchim komil emas",1
